author	essay_title	essay_text
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	BETWEEN the fifteenth and twentieth centuries a unique and distinctive balance between aristocratic and bureaucratic forces was achieved in Korea, unmatched anywhere else in East Asia in terms of its nature and longevity. The ruling class of this society was neither thoroughly aristocratic nor thoroughly bureaucratic because government officials were selected by means of a Chinese-style civil service examination based on impersonal testing of ones knowledge of the Confucian classics and Chinese history and literature. At the same time, most of the successful examination candidates and high officials came from clans and even families with records of degree and officeholding that went back for hundreds of years. The hereditary aspects of the Korean ruling class had only been weakened by the examination system, not destroyed as it had been in China after the fall of the Tang in the tenth century.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	One reason why the Koreans were able to create a ruling class of this mixed aristocratic/bureaucratic nature and preserve it for so long was because their country was sheltered from the destructive and disruptive forces of foreign invasion and major economic change during most of the Choson 朝鮮 (Yi 李) dynasty (1392-1910). The long period of peace ensured by the Ming and Chʻing hegemony over the East Asian continental area allowed Koreans to live on their own terms. Even though peace was occasionally shattered by the anti-Mongol Red Turban rebels in the fourteenth century, Wakō pirate raids in the fifteenth century, Hideyoshis invasions in the late sixteenth, and two short Manchu attacks in the seventeenth, Koreas tributary relationship with China and her own seclusion policy buffered these shocks and prevented any serious destruction of the ruling class.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	This protective barrier also kept economic change to a minimum, limiting foreign and domestic trade and postponing the rise of commercial activity until the late seventeenth or eighteenth centuries, and even then confining it to rather modest proportions until after the opening of Korea to foreign commerce in 1876. The dampening of commerical activity meant that Korea remained primarily an agricultural economy for most of this period, providing a stable basis for the mixed aristocratic/bureaucratic ruling class. The balance achieved between aristocratic and bureaucratic tendencies in the Choson ruling class was not just the product of economic and political forces; it was also the result of the influence of Confucianism on Korean society. Koreas elite culture had been dominated by Buddhism from about the late fourth century until the Neo-Confucian revival began to affect the Koreans in a serious way in the late thirteenth and early fourteenth centuries. At the end of the fourteenth century, Neo-Confucian ethics and reformist political thought played major roles in the movement that led to the overthrow of the Koryo dynasty and the establishment of the Choson dynasty. While Buddhism died hard, by the sixteenth century almost all the elite were Confucians, and a good many had a thorough grasp of Chu Hsis 朱熹 metaphysics as well. This was truly Koreas Confucian age, which meant that not only were educated Koreans affected by Confucian ideas in their behavior, but also that Korean society was somehow subtly influenced by Confucianism as well. This subtle influence manifested itself in the emergence of a balance between aristocratic and bureaucratic forces and in the creation of a ruling class that was semi-aristocratic and semi-bureaucratic in nature.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	By aristocracy I mean a ruling class determined by birth or heredity, and by bureaucracy I refer to functionaries recruited by impersonal standards of merit, talent or achievement. The Choson ruling class could not be described exclusively in terms of either of these two alternatives, because birth itself was not enough to guarantee either officeholding or high office, merit was never defined exclusively in terms of impersonal or rational standards (moral criteria were always subsumed in the definition of talent), and officeholding was always strongly correlated with inherited family status.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	This type of ruling class could be regarded simply as a Weberian patrimonial bureaucracy except that our interest here is not confined to irrational or personal criteria of recruitment and bureaucratic membership exclusively, but extends as well to the perpetuation of such personal criteria in families or clans over generations. This does not rule the aristocratic bureaucrat out of the Weberian patrimonial model; it simply makes a distinction between patrimonial bureaucrats who cannot perpetuate their positions in their families over time and those who can, and insists that the distinction between the two is significant.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	While the Koreans attained a stage of development in which the aristocratic/bureaucratic type was created and preserved virtually intact until the twentieth century, the type was not preserved past the Sung dynasty in China. In both countries, the formation of the aristocratic/bureaucratic hybrid was achieved after a period of aristocratic rule as a result of the growth of central, imperial and bureaucratic influence and the corresponding decline of aristocratic power and autonomy. There were important differences in the two countries that will be described later, but the important point to note here is the role played by Confucianism in relation to this type of ruling elite.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	The Tang dynasty had an aristocratic/bureaucratic elite of the type described above and Confucian thought was important in the Tang, but the dominant faiths of that period were Buddhism and Taoism. The age could be described as a period of syncretism or one in which Confucianism played a secondary role to Buddhism and Taoism. The destruction of hereditary aristocracy (or to be more exact, the aristocratic/bureaucratic type) by the disruption of the late Tang and Five Dynasties period was followed by the rapid growth in the influence of Confucianism in Chinese thought and culture in the Sung. The spread not only of Neo-Confucian metaphysics, but of Confucian ideas and ethics in general, certainly accompanied and was correlated with the decline of the aristocratic principle in society, contributing to the replacement of aristocratic bureaucrats by bureaucrats (albeit Weberian patrimonial bureaucrats) in the government and aristocrats by gentry in society. This trend was accompanied by increased emphasis on knowledge, writing, and the civil arts through the use of the examination system for recruitment, and a decrease in inherited status. One could argue that this was coincidence rather than cause, but only if willing to denigrate the importance of ideas in social and political life.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	What is striking by comparison with this Chinese experience is that the rise of Confucian thought in Korea with all its institutional accoutrements, such as the examination system, the public and private schools, the adoption of Confucian canons of taste and prose, poetry, and painting, and the use of Confucian rites in the sacraments of daily life, was not accompanied by the obliteration of the aristocratic bureaucrat, but rather by his preservation. One might conclude that if the influence of Confucianism in these two societies was rather different, the reasons for the differences have to be attributed to factors other than Confucian thought. While more than ready to acknowledge the clear logic of such a proposition, I am still prepared to defend the notion that, all other things being equal, Confucianism should have had a certain effect on an agrarian society into which the bureaucratic mode of government organization had already been introduced.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	Of course, things were not equal, and that is why there was a difference; that is why the aristocratic bureaucat as a type disappeared from the Chinese scene and why he was preserved in Korea. In China the growth in state power resulted in weakening of the aristocracy and an overturning of the aristocratic/bureaucratic balance, but this was aided by two phenomena that were less important in Korea. Foreign invasion, in particular the ability of non-Chinese to take over the state apparatus and the necessity to build up state power to resist foreign enemies, had a serious effect on the independent power of the aristocrats. The expansion of commercial activity and markets with its dilution of inherited landed wealth by movable property was a second cause in the destruction of the aristocracy. In Korea the integrity of private property in land was better preserved because of the absence of these two factors, even though profligacy, division of property among heirs, and failure to renew bureaucratic status did result in downward mobility and shifts in the composition of the elite.
James B Palais	Aristocratic-Bureaucratic Balance in Korea 	To explain the destruction of the Chinese aristocracy and its diminution into a gentry class (or even a class made up of weak and isolated bureaucrats), I refer to the factors of foreign invasion and commercial development because of the relative absence of these factors during the Choson dynasty (1392-1910) in Korea. As mentioned before, there was no need for a permanent standing army of any significance throughout the Choson period (beyond what was needed to suppress domestic rebellions) because Korea was protected by unified Chinese dynasties. The military atrophied in this hothouse environment. The military reorganization that occurred in the seventeenth century was soon neglected once Manchu military superiority was reluctantly acknowledged. Furthermore, the establishment of legal restrictions on contact and trade with the Japanese after Hideyoshis invasions and the Manchus after 1636 reduced the stimulative effects of foreign trade. Although domestic trade grew, it could not expand very far beyond the limits set by local landlordism (the economic prop of the capital aristocratic bureaucrat or his rural relatives) and state regulation.
